,City,Lat,Lng,Max Temp,Humidty,Cloudiness,Wind Speed,Country,Date
382,plouzane,48.38,-4.62,60.8,87,90,5.82,FR,1594684186
383,waipawa,-41.41,175.52,52.0,81,1,3.36,NZ,1594684186
384,broken hill,-31.95,141.43,42.8,87,1,10.29,AU,1594684186
385,sampit,-2.53,112.95,75.79,94,59,3.15,ID,1594684186
386,luba,3.46,8.55,75.2,100,40,3.36,GQ,1594684186
387,palu,-0.89,119.87,79.47,75,88,2.89,ID,1594684187
388,cao bang,22.67,106.25,78.15,87,10,1.54,VN,1594684187
389,airai,-8.93,125.41,62.4,68,39,5.35,TL,1594684187
390,bagotville,-28.98,153.42,57.2,58,1,18.34,AU,1594684187
391,sivas,39.79,37.0,51.8,81,0,3.36,TR,1594684051
392,brae,60.4,-1.35,51.8,100,99,11.41,GB,1594684188
393,zhucheng,35.99,119.4,72.45,73,100,2.35,CN,1594684188
394,salinas,36.68,-121.66,66.99,63,75,14.99,US,1594683924
395,kula,38.55,28.65,65.68,72,0,4.09,TR,1594684188
396,saint-augustin,51.23,-58.65,53.38,87,100,16.8,CA,1594684188
397,rocha,-34.48,-54.33,37.89,74,0,9.66,UY,1594684188
398,olga,43.74,135.29,71.17,62,0,3.58,RU,1594684188
399,rantauprapat,2.1,99.83,73.47,88,85,2.08,ID,1594683913
400,leshukonskoye,64.9,45.76,54.07,87,98,4.09,RU,1594684189
401,la primavera,5.49,-70.41,76.3,82,26,3.42,CO,1594684189
402,harbour breton,47.48,-55.8,59.7,96,58,7.72,CA,1594684189
403,segezha,63.74,34.32,53.67,90,10,5.1,RU,1594684189
404,gola bazar,26.34,83.36,81.39,85,54,6.15,IN,1594684189
405,qui nhon,13.77,109.23,80.56,77,29,3.85,VN,1594684190
406,japura,-0.32,102.35,71.69,97,100,3.11,ID,1594684190
407,perth,-31.93,115.83,59.0,67,75,14.99,AU,1594684190
408,nadym,65.53,72.52,52.92,66,81,15.32,RU,1594684190
409,san ramon de la nueva oran,-23.13,-64.33,64.99,85,91,1.99,AR,1594684190
410,victoria,22.29,114.16,88.0,79,5,8.99,HK,1594683924
411,domanivka,47.63,30.99,56.14,76,4,14.16,UA,1594684191
412,palmares do sul,-30.26,-50.51,52.21,68,30,10.83,BR,1594684016
413,batemans bay,-35.72,150.18,50.0,86,92,5.99,AU,1594684191
414,lazaro cardenas,17.96,-102.2,84.45,70,11,6.38,MX,1594684191
415,roblin,51.23,-101.36,63.28,81,20,13.31,CA,1594684191
416,port hardy,50.7,-127.42,64.4,63,20,12.75,CA,1594683918
417,ughelli,5.49,6.01,74.34,92,100,4.45,NG,1594684192
418,owen sound,44.57,-80.94,69.01,79,50,6.91,CA,1594683901
419,volkhov,59.93,32.34,49.84,83,34,4.14,RU,1594684192
420,santa rosa,14.31,121.11,82.0,88,100,2.24,PH,1594684192
421,ushibuka,32.19,130.02,74.71,91,100,17.09,JP,1594684192
422,svetlogorsk,52.63,29.73,50.23,92,12,9.4,BY,1594684193
423,henties bay,-22.12,14.28,53.01,91,0,12.86,NA,1594684138
424,hutchinson,38.06,-97.93,91.4,43,1,17.22,US,1594684193
425,touros,-5.2,-35.46,69.8,94,6,3.36,BR,1594684193
426,shannon,52.7,-8.86,55.4,76,75,9.17,IE,1594684193
427,shingu,33.73,135.98,77.0,100,75,11.41,JP,1594684193
428,blackwater,-23.58,148.88,58.41,41,0,12.03,AU,1594684193
429,riyadh,24.69,46.72,95.0,16,0,4.7,SA,1594684033
430,lakatoro,-16.1,167.42,80.6,74,75,7.94,VU,1594684194
431,matara,5.95,80.54,79.86,88,78,8.9,LK,1594684032
432,lima,-12.04,-77.03,60.8,82,90,6.93,PE,1594684097
433,leningradskiy,69.38,178.42,40.93,80,100,10.56,RU,1594684105
434,hasaki,35.73,140.83,72.0,100,75,6.93,JP,1594683994
435,dehloran,32.69,47.27,90.28,15,2,4.94,IR,1594684195
436,novoagansk,61.94,76.66,52.75,73,6,11.86,RU,1594683979
437,yakeshi,49.28,120.73,76.17,54,69,5.14,CN,1594684195
438,darhan,49.49,105.92,68.97,65,17,1.74,MN,1594684195
439,westport,41.14,-73.36,82.99,55,20,8.39,US,1594684079
440,poronaysk,49.22,143.12,57.11,87,100,6.73,RU,1594684195
441,shache,38.42,77.24,71.53,48,66,4.03,CN,1594684195
442,bintulu,3.17,113.03,75.2,94,40,5.59,MY,1594684196
443,vestmannaeyjar,63.44,-20.27,51.44,85,100,2.8,IS,1594683978
444,san marcos,33.14,-117.17,87.01,73,1,11.41,US,1594684148
445,conil,44.97,3.72,48.04,97,37,2.48,FR,1594684196
446,arinos,-15.92,-46.11,66.36,43,0,2.15,BR,1594684196
447,jalu,29.03,21.55,76.32,59,0,9.44,LY,1594684197
448,taksimo,56.34,114.88,75.27,53,28,1.72,RU,1594684197
449,mantua,45.17,10.78,64.0,72,29,1.99,IT,1594684197
450,mikhaylovsk,45.13,42.03,66.2,88,40,15.66,RU,1594684197
451,mizdah,31.45,12.98,68.94,63,0,7.74,LY,1594684197
452,vanavara,60.34,102.28,68.65,61,7,4.21,RU,1594684044
453,bulgan,48.81,103.53,62.83,78,71,2.8,MN,1594684198
454,pevek,69.7,170.31,42.15,74,80,0.63,RU,1594684198
455,pangnirtung,66.15,-65.71,55.38,52,75,4.07,CA,1594684198
456,gazli,40.13,63.45,79.79,18,0,13.15,UZ,1594684198
457,dzilam gonzalez,21.28,-88.93,89.01,71,15,8.99,MX,1594684198
458,geraldton,-28.77,114.6,60.8,87,75,16.11,AU,1594683979
459,kuldur,49.22,131.63,76.87,83,0,1.16,RU,1594684198
460,bandarbeyla,9.49,50.81,78.84,68,49,27.65,SO,1594684199
461,chengde,40.97,117.94,75.07,57,3,3.33,CN,1594684199
462,santo antonio do sudoeste,-26.07,-53.73,60.26,96,47,6.91,BR,1594684199
463,port-gentil,-0.72,8.78,75.2,88,90,14.41,GA,1594684199
464,mitsamiouli,-11.38,43.28,77.14,70,17,5.75,KM,1594684054
465,lagoa,39.05,-27.98,68.92,83,6,11.97,PT,1594684199
466,honiara,-9.43,159.95,77.0,94,90,5.82,SB,1594684200
467,bitung,1.45,125.18,77.0,100,20,8.5,ID,1594684159
468,bloomington,44.84,-93.3,84.2,54,75,18.34,US,1594683910
469,ilawe,7.87,4.43,70.09,97,100,6.98,NG,1594684200
470,wilmington,34.23,-77.94,80.01,78,75,5.82,US,1594684159
471,saint andrews,34.05,-81.13,93.2,46,40,3.36,US,1594684201
472,lufilufi,-13.87,-171.6,84.2,83,75,8.05,WS,1594684201
473,tombouctou,20.0,-3.0,97.48,23,21,9.95,ML,1594684201
474,sabla,12.75,4.71,81.81,58,12,12.8,NG,1594684201
475,verkhnevilyuysk,63.45,120.32,76.14,56,10,1.52,RU,1594684201
476,santa maria,-29.68,-53.81,50.0,61,0,3.36,BR,1594683928
477,lodja,-3.48,23.43,71.31,90,96,3.42,CD,1594684202
478,korla,41.76,86.15,77.0,53,49,1.99,CN,1594684202
479,arlit,18.74,7.39,95.23,23,100,5.14,NE,1594684202
480,kununurra,-15.77,128.73,64.4,27,0,9.17,AU,1594684202
481,biograd na moru,43.94,15.45,69.8,37,1,13.87,HR,1594684202
482,crestview,30.76,-86.57,80.6,78,75,3.36,US,1594684105
483,poum,-20.23,164.02,73.51,78,94,19.28,NC,1594683641
484,menongue,-14.66,17.69,46.29,50,0,2.28,AO,1594684203
485,yarim,14.3,44.38,62.13,69,83,1.79,YE,1594684203
486,kommunar,59.62,30.39,54.0,81,0,4.47,RU,1594684203
487,hermiston,45.84,-119.29,81.0,21,1,4.7,US,1594684176
488,patti,31.28,74.86,82.4,83,0,1.41,IN,1594684204
489,fatehpur,25.93,80.8,89.08,64,87,5.91,IN,1594684204
490,jensen beach,27.25,-80.23,91.4,52,40,8.05,US,1594684204
491,ketchikan,55.34,-131.65,62.6,67,90,9.17,US,1594684057
492,maragogi,-9.01,-35.22,73.99,83,14,3.62,BR,1594684204
493,teya,60.38,92.63,65.35,64,27,4.25,RU,1594684204
494,diego de almagro,-26.37,-70.05,49.77,74,0,0.76,CL,1594684205
495,faya,18.39,42.45,71.6,56,64,6.93,SA,1594684205
496,taitung,22.76,121.14,87.8,62,75,3.36,TW,1594684205
497,shostka,51.86,33.47,55.44,87,100,14.03,UA,1594684205
498,manokwari,-0.87,134.08,81.48,71,99,6.35,ID,1594684205
499,verkhoyansk,67.54,133.38,72.43,49,53,11.74,RU,1594684205
500,rafsanjan,30.41,55.99,81.36,15,41,8.12,IR,1594684206
501,whitianga,-36.83,175.7,60.01,97,85,3.85,NZ,1594684114
502,marapanim,-0.72,-47.7,75.38,94,18,5.84,BR,1594684206
503,porto velho,-8.76,-63.9,78.8,88,20,0.27,BR,1594684206
504,shenjiamen,29.96,122.3,76.1,92,89,7.36,CN,1594684206
505,kenora,49.82,-94.43,75.2,50,90,18.34,CA,1594684206
506,te anau,-45.42,167.72,39.09,85,39,0.65,NZ,1594684207
507,northam,51.03,-4.22,59.0,100,100,7.0,GB,1594684207
508,sao felix do xingu,-6.64,-51.99,75.11,48,14,2.08,BR,1594684207
509,traverse city,44.76,-85.62,77.0,36,20,8.05,US,1594683991
510,goedereede,51.82,3.98,66.0,77,90,10.67,NL,1594684207
511,westlock,54.15,-113.87,61.0,82,90,10.29,CA,1594684171
512,puerto asis,0.51,-76.5,73.9,94,70,2.1,CO,1594684208
513,emerald,-23.53,148.17,57.0,47,0,10.29,AU,1594684208
514,ishigaki,24.34,124.16,87.8,79,75,13.87,JP,1594684208
515,mukhen,48.1,136.1,71.82,87,40,3.89,RU,1594684208
516,jiaozhou,36.28,120.0,73.0,88,87,2.24,CN,1594684208
517,baryatino,54.31,34.52,54.84,92,100,11.14,RU,1594684209
518,huron,41.15,-82.55,77.0,59,18,5.91,US,1594684209
519,san cristobal,7.77,-72.22,82.4,51,40,18.34,VE,1594684021
520,paracuru,-3.41,-39.03,77.0,73,97,8.5,BR,1594684209
521,kankan,10.39,-9.31,69.53,94,100,3.02,GN,1594684209
522,erzin,36.96,36.2,78.01,88,28,0.92,TR,1594684209
523,milazzo,38.22,15.24,77.0,75,1,5.01,IT,1594684210
524,iskateley,67.68,53.15,43.36,92,44,5.08,RU,1594684210
525,whitehorse,60.72,-135.05,64.0,39,75,8.05,CA,1594684100
526,kyra,49.58,111.98,67.75,74,0,1.81,RU,1594684210
527,west plains,36.73,-91.85,87.01,48,1,8.05,US,1594684210
528,carauari,-4.88,-66.9,75.31,90,82,1.86,BR,1594684211
529,burnie,-41.07,145.92,51.01,70,0,5.01,AU,1594684211
530,terrak,65.09,12.37,46.4,100,2,4.7,NO,1594684211
531,joshimath,30.57,79.57,64.87,58,72,0.81,IN,1594684211
532,naryan-mar,67.67,53.09,43.43,92,45,5.06,RU,1594684211
533,norrtalje,59.76,18.7,57.99,82,23,1.99,SE,1594684211
534,puerto baquerizo moreno,-0.9,-89.6,66.88,90,16,10.29,EC,1594684036
535,baruun-urt,46.68,113.28,70.5,62,100,2.59,MN,1594684212
536,buchanan,5.88,-10.05,75.47,88,100,11.41,LR,1594684078
537,bonavista,48.65,-53.11,68.0,80,31,1.99,CA,1594684212
538,cafarnaum,-11.69,-41.47,66.94,77,73,9.93,BR,1594684212
539,wichita,37.69,-97.34,90.0,52,1,16.11,US,1594684213
540,fomboni,-12.28,43.74,77.04,70,7,8.5,KM,1594684213
541,vallenar,-28.57,-70.76,62.11,55,0,2.15,CL,1594684213
542,matipo,-20.28,-42.34,61.63,83,0,2.44,BR,1594684213
543,castelo branco,39.82,-7.49,82.99,34,0,3.0,PT,1594684213
544,chernyshevskiy,63.01,112.47,69.94,57,48,3.36,RU,1594684213
545,oranjemund,-28.55,16.43,52.9,77,17,4.36,NA,1594684214
546,teahupoo,-17.83,-149.27,84.2,66,90,13.87,PF,1594683646
547,pitimbu,-7.47,-34.81,75.2,88,46,4.7,BR,1594684214
548,amalapuram,16.58,82.02,79.07,90,100,7.2,IN,1594684214
549,san pedro,14.35,121.02,82.0,88,100,2.24,PH,1594684214
550,hirara,24.8,125.28,86.0,79,75,14.99,JP,1594684172
551,ust-kut,56.79,105.77,74.88,57,3,1.7,RU,1594684215
552,yumen,40.28,97.2,68.63,47,46,10.56,CN,1594684215
553,kieta,-6.22,155.63,84.54,64,98,3.27,PG,1594684215
554,mount isa,-20.73,139.5,59.0,33,58,13.87,AU,1594684173
555,bam,29.11,58.36,85.68,26,93,2.01,IR,1594684215
556,lipin bor,60.26,37.98,55.69,96,100,8.34,RU,1594684215
557,hamada,34.88,132.08,71.6,94,75,4.7,JP,1594684215
558,hue,16.47,107.6,80.6,83,20,4.7,VN,1594684216
559,olivet,47.86,1.9,60.8,59,79,8.05,FR,1594684089
560,purepero,19.92,-102.02,70.0,83,90,2.15,MX,1594684216
561,bubaque,11.28,-15.83,80.42,85,100,16.73,GW,1594683657
562,moerai,-22.43,-151.33,67.3,86,100,6.96,PF,1594684216
563,maniitsoq,65.42,-52.9,44.47,81,0,21.07,GL,1594684217
564,maneadero,31.72,-116.57,75.0,79,26,3.0,MX,1594684217
565,nueva gerona,21.88,-82.8,85.15,67,85,3.44,CU,1594684217
566,ariquemes,-9.91,-63.04,78.93,69,67,1.74,BR,1594684217
567,tutoia,-2.76,-42.27,77.68,82,100,8.88,BR,1594684218
568,elk city,35.41,-99.4,98.6,30,1,14.99,US,1594684218
569,montpellier,43.61,3.88,77.0,44,35,6.93,FR,1594684218
570,gillette,44.29,-105.5,82.4,26,1,17.22,US,1594684218
571,kuminskiy,58.67,66.57,59.41,76,4,2.91,RU,1594684218
572,eyl,7.98,49.82,79.29,63,57,21.09,SO,1594684218
573,daniel flores,9.34,-83.67,72.97,81,100,0.74,CR,1594684218
574,kaz,52.91,87.31,60.21,93,93,2.42,RU,1594684219
575,rafaela,-31.25,-61.49,50.0,37,0,2.82,AR,1594684219
576,codrington,-38.27,141.97,48.79,83,8,4.65,AU,1594684219
577,manono,-7.3,27.42,67.84,38,38,0.89,CD,1594684219
578,werda,-25.27,23.28,41.76,66,0,7.85,BW,1594684219
579,marzuq,14.4,46.47,81.7,49,86,5.86,YE,1594684219
580,sinegorskiy,48.01,40.84,69.84,88,100,6.51,RU,1594684220
581,taicheng,38.73,113.23,67.6,74,99,2.91,CN,1594684220
582,aykhal,66.0,111.5,68.0,49,12,4.47,RU,1594684220
583,vila,42.03,-8.16,71.01,40,29,10.29,PT,1594684220
584,ancud,-41.87,-73.82,39.2,86,40,2.24,CL,1594684220
585,capitan bado,-23.27,-55.53,68.52,90,68,8.34,PY,1594684221
